Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction,UUID,Engagement Level,User Segment,User Value,Preferred Content Type,Primary Discovery Method,Categorized Mood,Satisfied with Podcast Variety
20-35,Female,More than 2 years,Smart speakers or voice assistants,Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Melody,Night,Sadness or melancholy,leisure time,Playlists,3,Daily,Comedy,Interview,Both,Both,Ok,19d2cce2-05dc-447b-9736-e8feea61e56a,Moderately Engaged,Loyal User,Standard,Music,Playlists,Sadness/Melancholy,Not Satisfied
12-20,Male,More than 2 years,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Social gatherings or parties,Workout session,Playlists,2,Several times a week,Comedy,Interview,Both,Unknown,Satisfied,0ccca1e8-0f97-4b47-a0d1-c747e1df7aff,Moderately Engaged,Loyal User,Standard,Music,Playlists,Social/Party,Satisfied
35-60,Others,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,Pop,Night,Relaxation and stress relief,"Study Hours, While Traveling",Playlists,4,Once a week,Sports,Interview,Unknown,Both,Satisfied,fb8573b6-bdb6-424a-bd17-f419d7074edd,Low Engagement,Emerging User,Standard,Music,Playlists,Relaxation/Stress Relief,Satisfied
20-35,Female,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, Workout session, leisure time","recommendations, Playlists",4,Never,Unknown,Unknown,Unknown,Unknown,Ok,b3f893dc-40bc-48af-adb3-caabf0de4790,Low Engagement,Emerging User,Standard,Music,Recommendations,"Relaxation/Stress Relief, Social/Party",Not Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,leisure time,"recommendations, Playlists",4,Rarely,Lifestyle and Health,Story telling,Well known individuals,Both,Ok,f24eec65-3d98-44c2-b044-4ce2848346d9,Moderately Engaged,Emerging User,Standard,Music,Recommendations,Relaxation/Stress Relief,Not Satisfied
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Pop,Night,Uplifting and motivational,Workout session,Others,3,Never,Unknown,Unknown,Unknown,Unknown,Ok,139568a1-7822-4278-9f9f-f8cfb7e1f365,Moderately Engaged,Loyal User,Standard,Music,Others,Uplifting/Motivational,Not Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Morning,Relaxation and stress relief,Office hours,recommendations,3,Never,Unknown,Unknown,Unknown,Unknown,Ok,7c5b0a6f-03c0-4617-8438-fabb83fcc3f3,Low Engagement,Emerging User,Standard,Music,Recommendations,Relaxation/Stress Relief,Not Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Social gatherings or parties,leisure time,recommendations,5,Several times a week,Lifestyle and Health,Conversational,Both,Longer,Satisfied,e54fc10f-098e-4b57-9519-f68d874d4619,Moderately Engaged,New User,Standard,Music,Recommendations,Social/Party,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","Playlists, Radio",4,Rarely,Comedy,Story telling,Well known individuals,Shorter,Satisfied,001ca964-728e-4f7a-8ac1-e2654bfe6477,Moderately Engaged,New User,Standard,Music,Playlists,"Relaxation/Stress Relief, Uplifting/Motivational",Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session",recommendations,4,Never,Unknown,Unknown,Unknown,Unknown,Ok,b17867d2-bb2f-438c-93b6-95c5b45249c7,Low Engagement,Loyal User,Standard,Music,Recommendations,Relaxation/Stress Relief,Not Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",Playlists,3,Several times a week,Lifestyle and Health,Story telling,Both,Both,Satisfied,0ae145de-1398-4415-a49c-230a93604f98,Moderately Engaged,Loyal User,Standard,Music,Playlists,"Relaxation/Stress Relief, Uplifting/Motivational",Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","recommendations, Playlists",3,Several times a week,Comedy,Interview,Both,Shorter,Ok,cb15a76d-6eda-449a-84db-611e79ee542c,Moderately Engaged,Emerging User,Standard,Music,Recommendations,"Relaxation/Stress Relief, Uplifting/Motivational",Not Satisfied
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,,Music,Melody,Morning,Relaxation and stress relief,Office hours,Playlists,3,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Ok,c69dcc1b-8734-4e37-ba15-5ac18ac37efb,Low Engagement,Emerging User,Standard,Podcast,Playlists,Relaxation/Stress Relief,Not Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling","recommendations, Others",1,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok,3af61e42-11f2-4554-b6eb-5e77a4e9b20c,Low Engagement,Loyal User,Standard,Podcast,Recommendations,Varied,Not Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,,Music,Pop,Morning,Relaxation and stress relief,Office hours,"recommendations, Playlists",5,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Very Satisfied,16f1b1ad-9d85-48d4-9ab3-ddc848b720f0,Low Engagement,Loyal User,Standard,Podcast,Recommendations,Relaxation/Stress Relief,Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Pop,Afternoon,"Relaxation and stress relief, Uplifting and motivational","Office hours, While Traveling, leisure time",Others,2,Never,Unknown,Unknown,Unknown,Unknown,Very Dissatisfied,8471d76e-1da2-43b1-8987-12f2b2b3e6f0,Low Engagement,Loyal User,Standard,Music,Others,"Relaxation/Stress Relief, Uplifting/Motivational",Not Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,Relaxation and stress relief,"While Traveling, leisure time","Playlists, Radio",1,Daily,Comedy,Educational,Well known individuals,Longer,Satisfied,261188e9-d737-4957-9fde-8c22083b048c,Moderately Engaged,New User,Standard,Music,Playlists,Relaxation/Stress Relief,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Social gatherings or parties,Social gatherings ,recommendations,4,Never,Unknown,Unknown,Unknown,Unknown,Ok,e226471c-73f0-49da-87c5-940db626caaf,Low Engagement,New User,Standard,Music,Recommendations,Social/Party,Not Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3,Never,Unknown,Unknown,Unknown,Unknown,Ok,37a80694-2e9a-4233-ac1a-b0417f9e8b46,Moderately Engaged,Loyal User,Standard,Music,Recommendations,Relaxation/Stress Relief,Not Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Sadness or melancholy,"While Traveling, leisure time",recommendations,4,Never,Unknown,Unknown,Unknown,Shorter,Ok,9d65e25e-36b3-4850-89be-b3a3066bee9f,Moderately Engaged,Emerging User,Standard,Music,Recommendations,Sadness/Melancholy,Not Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",4,Never,Unknown,Unknown,Unknown,Unknown,Ok,f23e0681-8f18-4df6-8fa0-773090919a44,Moderately Engaged,Emerging User,Standard,Music,Recommendations,"Relaxation/Stress Relief, Sadness/Melancholy",Not Satisfied
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,"Classical & melody, dance",Morning,Relaxation and stress relief,Office hours,recommendations,5,Never,Unknown,Unknown,Unknown,Unknown,Ok,aba036fa-2591-43b9-9216-5044281e28d6,Low Engagement,Loyal User,Standard,Music,Recommendations,Relaxation/Stress Relief,Not Satisfied
